"","...1","...2","...3","...4","...5","fips","FIPS.x","stateName","countyName","ccvi","adi.median2","adi.mean2","adi.median.uw2","adi.mean.uw2","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","VLCN_EXPP","VLCN_EXPPE","VLCN_EXPT","VLCN_HLRB","VLCN_HLRP","VLCN_HLRR","VLCN_EALB","VLCN_EALP","VLCN_EALPE","VLCN_EALT","VLCN_EALS","VLCN_EALR","VLCN_RISKS","VLCN_RISKR","WFIR_EVNTS","WFIR_AFREQ","WFIR_EXPB","WFIR_EXPP","WFIR_EXPPE","WFIR_EXPA","WFIR_EXPT","WFIR_HLRB","WFIR_HLRP","WFIR_HLRA","WFIR_HLRR","WFIR_EALB","WFIR_EALP","WFIR_EALPE","WFIR_EALA","WFIR_EALT","WFIR_EALS","WFIR_EALR","WFIR_RISKS","WFIR_RISKR","WNTW_EVNTS","WNTW_AFREQ","WNTW_EXPB","WNTW_EXPP","WNTW_EXPPE","WNTW_EXPA","WNTW_EXPT","WNTW_HLRB","WNTW_HLRP","WNTW_HLRA","WNTW_HLRR","WNTW_EALB","WNTW_EALP","WNTW_EALPE","WNTW_EALA","WNTW_EALT","WNTW_EALS","WNTW_EALR","WNTW_RISKS","WNTW_RISKR","NRI_VER","coi_num"
"667",667,667,667,667,667,"17031730600",17031730600,"ILLINOIS","Cook",0.565328826145384,6,6.66666666666667,7,6.66666666666667,17031730600,17,"ILLINOIS","IL",17031,"Cook",17031730600,"Census Tract 7306, Cook County, Illinois",0.6471,0.6471,2015,17031,17,"IL",763,-0.05705,-0.0178,-0.2478,-0.03711,"Low","Very Low","Very Low","Very Low",21,20,11,12,"Very Low","Low","Very Low","Very Low",20,22,12,13,"Very Low","Low","Very Low","Very Low",20,24,13,15,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,1.22751045e-06,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,667781000,6057.99999999999,46040799999.9999,452.767511886699,46708581452.7675,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",32.5328125315817,0.000286011534736,2173.68766399337,0.002503740446913,2206.2229802654,20.7226709790264,"Relatively Moderate",10.4997825457354,"Relatively Moderate",2021-07-01,1
"668",668,668,668,668,668,"17031730700",17031730700,"ILLINOIS","Cook",0.648134550643521,6,6.5,6.5,6.5,17031730700,17,"ILLINOIS","IL",17031,"Cook",17031730700,"Census Tract 7307, Cook County, Illinois",0.6602,0.6602,2015,17031,17,"IL",582,-0.04655,-0.01639,-0.26677,-0.03801,"Low","Very Low","Very Low","Very Low",27,20,10,11,"Low","Low","Very Low","Very Low",25,22,11,13,"Low","Low","Very Low","Very Low",25,25,12,14,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,1.51783719e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,870243999.999999,5542.99999999999,42126799999.9999,0,42997043999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",42.396361844278,0.000261697249429,1988.89909566115,0,2031.29545750543,20.1598345113304,"Relatively Moderate",10.6514506720395,"Relatively Moderate",2021-07-01,1
"669",669,669,669,669,669,"17031740100",17031740100,"ILLINOIS","Cook",0.202795749573988,3,3.5,3.5,3.5,17031740100,17,"ILLINOIS","IL",17031,"Cook",17031740100,"Census Tract 7401, Cook County, Illinois",0.1237,0.1237,2015,17031,17,"IL",747,0.046927,0.002554,0.117215,0.01914,"High","Low","High","High",76,34,69,68,"High","Low","High","High",72,37,64,64,"High","Low","High","High",65,40,64,61,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,2.453520918e-06,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,655241000,4313.99999999999,32786399999.9999,0,33441640999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",31.9218914823964,0.000203673450124,1547.91822094212,0,1579.84011242452,18.5395978354878,"Relatively Moderate",10.1536762038608,"Relatively Low",2021-07-01,4
"670",670,670,670,670,670,"17031740200",17031740200,"ILLINOIS","Cook",0.174616588853022,2,2.33333333333333,2,2.33333333333333,17031740200,17,"ILLINOIS","IL",17031,"Cook",17031740200,"Census Tract 7402, Cook County, Illinois",0.2208,0.2208,2015,17031,17,"IL",1469,0.060728,0.044118,0.201877,0.034945,"High","High","Very High","Very High",80,74,86,85,"High","Very High","Very High","Very High",77,86,84,83,"High","Very High","Very High","High",72,87,83,80,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,1.87659443e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,539731000,4889,37156400000,0,37696131000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",26.2944999041349,0.0002308204677,1754.23555451693,0,1780.53005442107,19.2935598471789,"Relatively Moderate",10.6791187084578,"Relatively Moderate",2021-07-01,5
"671",671,671,671,671,671,"17031740300",17031740300,"ILLINOIS","Cook",0.141117468585916,2,2.2,2,2.2,17031740300,17,"ILLINOIS","IL",17031,"Cook",17031740300,"Census Tract 7403, Cook County, Illinois",0.0983,0.0983,2015,17031,17,"IL",1377,0.052901,0.029795,0.229195,0.035747,"High","Moderate","Very High","Very High",78,59,91,85,"High","High","Very High","Very High",73,66,91,83,"High","High","Very High","Very High",68,67,91,81,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,5.88462416e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,817166999.999999,7061,53663600000,0,54480767000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",39.8105678628099,0.000333365375829,2533.57685629864,0,2573.38742416145,21.8137829930303,"Relatively Moderate",11.6562698358771,"Relatively Moderate",2021-07-01,5
"672",672,672,672,672,672,"17031740400",17031740400,"ILLINOIS","Cook",0.134606059766421,3,3.5,3.5,3.5,17031740400,17,"ILLINOIS","IL",17031,"Cook",17031740400,"Census Tract 7404, Cook County, Illinois",0.1323,0.1323,2015,17031,17,"IL",1121,0.053675,0.017687,0.113264,0.02103,"High","Moderate","High","High",78,47,68,70,"High","Moderate","High","High",74,52,64,66,"High","Moderate","High","High",68,55,63,63,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,187404999.999999,2041.99999999999,15519199999.9999,0,15706604999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",9.12995687580371,9.6407321547e-05,732.695643756102,0,741.825600631906,14.4099741784482,"Relatively Low",7.49487207853427,"Relatively Low",2021-07-01,4
"673",673,673,673,673,673,"17031750100",17031750100,"ILLINOIS","Cook",0.678904420830967,6,7,7,7,17031750100,17,"ILLINOIS","IL",17031,"Cook",17031750100,"Census Tract 7501, Cook County, Illinois",0.6197,0.6197,2015,17031,17,"IL",668,-0.03338,-0.03868,-0.42172,-0.05698,"Low","Very Low","Very Low","Very Low",35,10,3,5,"Low","Very Low","Very Low","Very Low",33,12,6,7,"Low","Very Low","Very Low","Very Low",31,13,6,8,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,1.224545316e-06,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,141341000,1990,1.5124e+10,0,15265341000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",6.88582073468142,9.3952286914e-05,714.037380545858,0,720.92320128054,14.2733395636184,"Relatively Low",9.82101731050895,"Relatively Low",2021-07-01,1
"674",674,674,674,674,674,"17031750200",17031750200,"ILLINOIS","Cook",0.464914589711974,4,3.75,4.5,3.75,17031750200,17,"ILLINOIS","IL",17031,"Cook",17031750200,"Census Tract 7502, Cook County, Illinois",0.2863,0.2863,2015,17031,17,"IL",636,0.043954,-0.00308,0.099809,0.016184,"High","Low","High","High",75,29,65,64,"High","Low","Moderate","Moderate",71,32,60,60,"High","Low","Moderate","Moderate",64,35,60,58,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.77759472799999,579041000,6077,46185200000,0,46764241000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",28.2095961117486,0.000286908566621,2180.50510632019,0,2208.71470243194,20.73046948236,"Relatively Moderate",11.0074674698741,"Relatively Moderate",2021-07-01,3
"675",675,675,675,675,675,"17031750300",17031750300,"ILLINOIS","Cook",0.230226790983777,2.5,2.66666666666667,3,2.66666666666667,17031750300,17,"ILLINOIS","IL",17031,"Cook",17031750300,"Census Tract 7503, Cook County, Illinois",0.1526,0.1526,2015,17031,17,"IL",660,0.070346,0.033955,0.100826,0.023149,"Very High","High","High","High",83,64,65,72,"High","High","High","High",80,72,61,70,"High","High","Moderate","High",74,74,60,66,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,128776999.999999,1608.99999999999,12228399999.9999,0,12357176999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",6.27373045860769,7.5964437007e-05,577.32972125542,0,583.603451714028,13.3025596263609,"Relatively Low",7.89773797889561,"Relatively Low",2021-07-01,4
"676",676,676,676,676,676,"17031750400",17031750400,"ILLINOIS","Cook",0.250994028899572,3,3,3,3,17031750400,17,"ILLINOIS","IL",17031,"Cook",17031750400,"Census Tract 7504, Cook County, Illinois",0.0716,0.0716,2015,17031,17,"IL",717,0.042479,0.0413,0.167695,0.028639,"High","High","High","High",74,72,79,78,"High","Very High","High","High",70,83,76,76,"High","Very High","High","High",64,84,75,72,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,2.64480617e-06,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,184006999.999999,2044.99999999999,15541999999.9999,0,15726006999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",8.96441383552207,9.654895816e-05,733.772082018232,0,742.736495853754,14.4158698174277,"Relatively Low",8.84636406780732,"Relatively Low",2021-07-01,4
"677",677,677,677,677,677,"17031750500",17031750500,"ILLINOIS","Cook",0.960945401144345,3,5.25,4.5,5.25,17031750500,17,"ILLINOIS","IL",17031,"Cook",17031750500,"Census Tract 7505, Cook County, Illinois",0.865,0.865,2015,17031,17,"IL",1593,0.016581,-0.01266,-0.23395,-0.02679,"High","Low","Very Low","Very Low",63,23,12,18,"High","Low","Very Low","Very Low",61,25,13,19,"Moderate","Low","Very Low","Low",54,27,14,21,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,175801999.999999,2223,16894800000,0,17070602000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",8.56468439305271,0.000104952730558,797.640752237912,0,806.205436630964,14.8153245973476,"Relatively Low",9.06226775177206,"Relatively Low",2021-07-01,1
"678",678,678,678,678,678,"17031750600",17031750600,"ILLINOIS","Cook",0.706418586608664,7.5,8,8,8,17031750600,17,"ILLINOIS","IL",17031,"Cook",17031750600,"Census Tract 7506, Cook County, Illinois",0.7821,0.7821,2015,17031,17,"IL",952,-0.0176,-0.0421,-0.34495,-0.04664,"Moderate","Very Low","Very Low","Very Low",44,9,6,8,"Moderate","Very Low","Very Low","Very Low",43,11,8,10,"Low","Very Low","Very Low","Very Low",39,13,9,11,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,7.34743859e-07,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,441611000,6399,48632400000,0,49074011000,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",21.5143106420882,0.000302110896463,2296.04281312208,0,2317.55712376417,21.0655472619606,"Relatively Moderate",12.7469090690282,"Relatively Moderate",2021-07-01,1
"679",679,679,679,679,679,"17031760801",17031760801,"ILLINOIS","Cook",0.614372203211371,3,5,5,5,17031760801,17,"ILLINOIS","IL",17031,"Cook",17031760801,"Census Tract 7608.01, Cook County, Illinois",0.3646,0.3646,2015,17031,17,"IL",626,0.009825,-0.01576,0.004103,-1e-04,"Moderate","Low","Moderate","Moderate",60,21,45,45,"Moderate","Low","Moderate","Moderate",58,23,41,41,"Moderate","Low","Moderate","Moderate",52,26,41,41,NA,NA,NA,NA,NA,"Not Applicable",NA,NA,NA,NA,NA,"Not Applicable",NA,"Not Applicable",NA,0,0,0,0,0,0,0.4,0.000604329616779,0.013579329393992,"No Rating",0,0,0,0,0,0,"No Expected Annual Losses",0,"No Rating",58,4.777594728,220221999.999999,4044.99999999999,30741999999.9999,0,30962221999.9999,1.0197137e-08,9.882003e-09,1.157456669e-06,"Very Low",10.72872849232,0.000190973367119,1451.39759010452,0,1462.12631859684,18.0672017898967,"Relatively Moderate",11.1825715848187,"Relatively Moderate",2021-07-01,3
