"","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","RPL_THEMES"
"459",17,"ILLINOIS","IL",17031,"Cook",17031815000,"Census Tract 8150, Cook County, Illinois",0.5885
"460",17,"ILLINOIS","IL",17031,"Cook",17031815100,"Census Tract 8151, Cook County, Illinois",0.5117
"461",17,"ILLINOIS","IL",17031,"Cook",17031815200,"Census Tract 8152, Cook County, Illinois",0.7876
"462",17,"ILLINOIS","IL",17031,"Cook",17031815300,"Census Tract 8153, Cook County, Illinois",0.4967
"463",17,"ILLINOIS","IL",17031,"Cook",17031815400,"Census Tract 8154, Cook County, Illinois",0.6583
"464",17,"ILLINOIS","IL",17031,"Cook",17031815500,"Census Tract 8155, Cook County, Illinois",0.5544
"465",17,"ILLINOIS","IL",17031,"Cook",17031815600,"Census Tract 8156, Cook County, Illinois",0.5906
"466",17,"ILLINOIS","IL",17031,"Cook",17031815701,"Census Tract 8157.01, Cook County, Illinois",0.1713
"467",17,"ILLINOIS","IL",17031,"Cook",17031815702,"Census Tract 8157.02, Cook County, Illinois",0.2675
"468",17,"ILLINOIS","IL",17031,"Cook",17031816000,"Census Tract 8160, Cook County, Illinois",0.2188
"469",17,"ILLINOIS","IL",17031,"Cook",17031816100,"Census Tract 8161, Cook County, Illinois",0.4694
"470",17,"ILLINOIS","IL",17031,"Cook",17031816200,"Census Tract 8162, Cook County, Illinois",0.8348
"471",17,"ILLINOIS","IL",17031,"Cook",17031816401,"Census Tract 8164.01, Cook County, Illinois",0.7539
"472",17,"ILLINOIS","IL",17031,"Cook",17031816700,"Census Tract 8167, Cook County, Illinois",0.8846
"473",17,"ILLINOIS","IL",17031,"Cook",17031816800,"Census Tract 8168, Cook County, Illinois",0.755
"474",17,"ILLINOIS","IL",17031,"Cook",17031816900,"Census Tract 8169, Cook County, Illinois",0.663
"475",17,"ILLINOIS","IL",17031,"Cook",17031817000,"Census Tract 8170, Cook County, Illinois",0.7212
"476",17,"ILLINOIS","IL",17031,"Cook",17031817101,"Census Tract 8171.01, Cook County, Illinois",0.6029
"477",17,"ILLINOIS","IL",17031,"Cook",17031817102,"Census Tract 8171.02, Cook County, Illinois",0.6179
"478",17,"ILLINOIS","IL",17031,"Cook",17031817200,"Census Tract 8172, Cook County, Illinois",0.8607
"479",17,"ILLINOIS","IL",17031,"Cook",17031817300,"Census Tract 8173, Cook County, Illinois",0.8544
"480",17,"ILLINOIS","IL",17031,"Cook",17031817600,"Census Tract 8176, Cook County, Illinois",0.7534
"481",17,"ILLINOIS","IL",17031,"Cook",17031817700,"Census Tract 8177, Cook County, Illinois",0.504
"482",17,"ILLINOIS","IL",17031,"Cook",17031817900,"Census Tract 8179, Cook County, Illinois",0.7279
"483",17,"ILLINOIS","IL",17031,"Cook",17031818000,"Census Tract 8180, Cook County, Illinois",0.5931
"484",17,"ILLINOIS","IL",17031,"Cook",17031818100,"Census Tract 8181, Cook County, Illinois",0.3461
"485",17,"ILLINOIS","IL",17031,"Cook",17031818200,"Census Tract 8182, Cook County, Illinois",0.2361
"486",17,"ILLINOIS","IL",17031,"Cook",17031818300,"Census Tract 8183, Cook County, Illinois",0.6199
"487",17,"ILLINOIS","IL",17031,"Cook",17031818401,"Census Tract 8184.01, Cook County, Illinois",0.2334
"488",17,"ILLINOIS","IL",17031,"Cook",17031818402,"Census Tract 8184.02, Cook County, Illinois",0.3048
"489",17,"ILLINOIS","IL",17031,"Cook",17031818500,"Census Tract 8185, Cook County, Illinois",0.1898
"490",17,"ILLINOIS","IL",17031,"Cook",17031818600,"Census Tract 8186, Cook County, Illinois",0.3779
"491",17,"ILLINOIS","IL",17031,"Cook",17031818700,"Census Tract 8187, Cook County, Illinois",0.2238
"492",17,"ILLINOIS","IL",17031,"Cook",17031818800,"Census Tract 8188, Cook County, Illinois",0.2396
"493",17,"ILLINOIS","IL",17031,"Cook",17031818900,"Census Tract 8189, Cook County, Illinois",0.4322
"494",17,"ILLINOIS","IL",17031,"Cook",17031819000,"Census Tract 8190, Cook County, Illinois",0.1495
"495",17,"ILLINOIS","IL",17031,"Cook",17031819100,"Census Tract 8191, Cook County, Illinois",0.7499
