"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"945",17031813400,2015,17031,17,"IL",2972,-0.11018571,-0.028997192,-0.16910876,-0.035001356,"Very Low","Very Low","Very Low","Very Low",5,14,18,13,"Very Low","Very Low","Very Low","Very Low",4,16,18,14,"Very Low","Very Low","Very Low","Very Low",4,18,19,16
"946",17031813500,2015,17031,17,"IL",1675,-0.11649107,-0.016624449,-0.16329494,-0.033711359,"Very Low","Very Low","Very Low","Very Low",4,20,19,14,"Very Low","Low","Very Low","Very Low",3,22,18,15,"Very Low","Low","Very Low","Very Low",3,24,20,17
"947",17031813600,2015,17031,17,"IL",1502,-0.11157594,-0.018005539,-0.076927014,-0.023240158,"Very Low","Very Low","Low","Low",4,19,31,21,"Very Low","Low","Low","Low",4,21,28,22,"Very Low","Low","Low","Low",3,24,30,23
"948",17031813701,2015,17031,17,"IL",1154,-0.11705644,-0.045973223,-0.29701155,-0.052477699,"Very Low","Very Low","Very Low","Very Low",4,8,8,6,"Very Low","Very Low","Very Low","Very Low",3,10,10,8,"Very Low","Very Low","Very Low","Very Low",3,11,11,9
"949",17031813702,2015,17031,17,"IL",1060,-0.10372303,-0.02904834,-0.2045269,-0.038421549,"Very Low","Very Low","Very Low","Very Low",6,14,14,11,"Very Low","Very Low","Very Low","Very Low",5,16,15,12,"Very Low","Very Low","Very Low","Very Low",5,18,16,14
"950",17031813801,2015,17031,17,"IL",846,-0.12007806,-0.035666797,-0.078933842,-0.026286781,"Very Low","Very Low","Low","Very Low",3,11,31,19,"Very Low","Very Low","Low","Very Low",2,13,28,19,"Very Low","Very Low","Low","Low",2,15,29,21
"951",17031813802,2015,17031,17,"IL",1191,-0.12460629,-0.019001946,-0.17322271,-0.036020096,"Very Low","Very Low","Very Low","Very Low",3,19,18,12,"Very Low","Low","Very Low","Very Low",2,21,17,13,"Very Low","Low","Very Low","Very Low",2,23,19,15
"952",17031813900,2015,17031,17,"IL",2279,-0.10922343,-0.024169365,-0.10903584,-0.02737719,"Very Low","Very Low","Low","Very Low",5,16,26,18,"Very Low","Very Low","Low","Very Low",4,18,24,19,"Very Low","Very Low","Low","Very Low",4,20,26,20
"953",17031814000,2015,17031,17,"IL",1428,-0.12077536,-0.0098092621,-0.14649545,-0.031504855,"Very Low","Low","Low","Very Low",3,24,21,15,"Very Low","Low","Very Low","Very Low",2,27,20,16,"Very Low","Low","Low","Very Low",2,29,21,18
"954",17031814100,2015,17031,17,"IL",1042,-0.11852673,-0.046967767,-0.052467562,-0.02422517,"Very Low","Very Low","Low","Very Low",3,8,35,20,"Very Low","Very Low","Low","Low",3,9,31,21,"Very Low","Very Low","Low","Low",2,11,33,22
"955",17031814200,2015,17031,17,"IL",1956,-0.11856563,-0.038240619,-0.19338512,-0.039740097,"Very Low","Very Low","Very Low","Very Low",3,11,16,11,"Very Low","Very Low","Very Low","Very Low",3,12,16,12,"Very Low","Very Low","Very Low","Very Low",2,14,18,13
"956",17031814300,2015,17031,17,"IL",1702,-0.12604107,-0.021451272,-0.061018541,-0.023352295,"Very Low","Very Low","Low","Low",2,18,33,21,"Very Low","Very Low","Low","Low",2,20,30,22,"Very Low","Low","Low","Low",2,22,32,23
"957",17031814400,2015,17031,17,"IL",2775,-0.11098605,-0.014373477,-0.16653131,-0.033240505,"Very Low","Low","Very Low","Very Low",4,22,18,14,"Very Low","Low","Very Low","Very Low",4,24,18,15,"Very Low","Low","Very Low","Very Low",3,26,20,17
"958",17031814500,2015,17031,17,"IL",1392,-0.10550405,-0.0025621383,0.072765179,-0.0034733892,"Very Low","Low","Moderate","Moderate",6,29,59,41,"Very Low","Low","Moderate","Low",5,33,54,38,"Very Low","Low","Moderate","Low",4,35,54,38
"959",17031814600,2015,17031,17,"IL",1513,-0.028408699,0.0016469244,-0.12521392,-0.01757637,"Low","Low","Low","Low",38,33,24,26,"Low","Low","Low","Low",36,36,22,26,"Low","Low","Low","Low",34,39,24,27
"960",17031814700,2015,17031,17,"IL",1592,-0.028782895,-0.010166708,0.06472902,0.0032836264,"Low","Low","Moderate","Moderate",37,24,58,49,"Low","Low","Moderate","Moderate",36,26,52,45,"Low","Low","Moderate","Moderate",34,29,52,45
"961",17031814800,2015,17031,17,"IL",1111,-0.03829645,-0.0036241871,-0.0048200525,-0.0051887762,"Low","Low","Moderate","Low",32,29,44,39,"Low","Low","Low","Low",30,32,39,36,"Low","Low","Low","Low",29,34,40,37
"962",17031814900,2015,17031,17,"IL",1905,-0.038133457,-0.013633313,-0.20175551,-0.029199118,"Low","Low","Very Low","Very Low",32,22,15,17,"Low","Low","Very Low","Very Low",30,24,15,18,"Low","Low","Very Low","Very Low",29,27,17,20
"963",17031815000,2015,17031,17,"IL",1014,-0.044888418,-0.013586458,-0.013189226,-0.007950346,"Low","Low","Moderate","Low",28,22,42,36,"Low","Low","Low","Low",26,24,37,34,"Low","Low","Low","Low",26,27,38,35
"964",17031815100,2015,17031,17,"IL",1157,-0.071457826,0.0036510255,0.0075065028,-0.0066544306,"Very Low","Low","Moderate","Low",15,34,46,37,"Very Low","Low","Moderate","Low",13,38,41,35,"Very Low","Moderate","Moderate","Low",12,41,42,36
"965",17031815200,2015,17031,17,"IL",1325,-0.060020052,0.0080255605,-0.099888727,-0.017449256,"Very Low","Low","Low","Low",20,38,27,26,"Very Low","Moderate","Low","Low",19,41,25,26,"Very Low","Moderate","Low","Low",18,44,27,27
"966",17031815300,2015,17031,17,"IL",898,-0.059092894,0.011998907,0.051886119,0.00077555585,"Very Low","Moderate","Moderate","Moderate",20,41,55,46,"Very Low","Moderate","Moderate","Moderate",19,45,49,42,"Very Low","Moderate","Moderate","Moderate",18,48,50,42
"967",17031815400,2015,17031,17,"IL",1162,-0.027604587,0.0014275983,0.02691666,0.00023221924,"Low","Low","Moderate","Moderate",38,33,50,45,"Low","Low","Moderate","Moderate",37,36,45,41,"Low","Low","Moderate","Moderate",34,38,45,41
"968",17031815500,2015,17031,17,"IL",2582,-0.063814133,-0.0087053664,0.038655948,-0.0034834621,"Very Low","Low","Moderate","Moderate",18,25,52,41,"Very Low","Low","Moderate","Low",16,27,47,38,"Very Low","Low","Moderate","Low",16,30,47,38
"969",17031815600,2015,17031,17,"IL",1216,0.085056439,0.017866276,-0.045137063,0.0060512586,"Very High","Moderate","Low","Moderate",87,47,36,52,"Very High","Moderate","Low","Moderate",84,53,32,48,"High","Moderate","Low","Moderate",79,55,34,47
"970",17031815701,2015,17031,17,"IL",918,0.12867573,0.022087924,0.22224152,0.042514782,"Very High","Moderate","Very High","Very High",95,51,89,91,"Very High","Moderate","Very High","Very High",91,57,89,91,"Very High","Moderate","Very High","Very High",89,59,89,89
"971",17031815702,2015,17031,17,"IL",1324,0.12266019,0.02317524,0.099641919,0.027664917,"Very High","Moderate","High","High",94,52,65,77,"Very High","Moderate","Moderate","High",90,59,60,75,"Very High","Moderate","Moderate","High",88,60,60,71
"972",17031815800,2015,17031,17,"IL",354,0.10103128,0.032926667,0.23941305,0.042602837,"Very High","High","Very High","Very High",91,63,92,92,"Very High","High","Very High","Very High",87,70,93,91,"Very High","High","Very High","Very High",83,71,93,89
"973",17031815900,2015,17031,17,"IL",405,0.037402105,0.017209984,-0.06825088,-0.0019934685,"High","Moderate","Low","Moderate",72,46,32,42,"High","Moderate","Low","Low",69,52,29,39,"High","Moderate","Low","Low",62,54,30,40
"974",17031816000,2015,17031,17,"IL",434,0.039196011,-0.0058527812,0.12250166,0.018009664,"High","Low","High","High",73,27,70,66,"High","Low","High","High",69,29,65,63,"High","Low","High","Moderate",62,32,64,60
"975",17031816100,2015,17031,17,"IL",1219,0.0091602914,0.010974674,-0.0046372805,0.0016364184,"Moderate","Low","Moderate","Moderate",59,40,44,47,"Moderate","Moderate","Low","Moderate",58,44,39,43,"Moderate","Moderate","Low","Moderate",51,47,40,43
"976",17031816200,2015,17031,17,"IL",806,-0.081480309,0.0052397801,0.04723287,-0.0029632959,"Very Low","Low","Moderate","Moderate",12,36,54,41,"Very Low","Low","Moderate","Low",10,39,48,38,"Very Low","Moderate","Moderate","Low",9,42,49,39
"977",17031816300,2015,17031,17,"IL",1249,-0.073331177,0.00057462865,-0.0096058464,-0.0091836033,"Very Low","Low","Moderate","Low",14,32,43,34,"Very Low","Low","Low","Low",12,35,38,33,"Very Low","Low","Low","Low",12,38,39,34
"978",17031816401,2015,17031,17,"IL",1457,-0.081182502,-0.024901349,-0.085938901,-0.021654386,"Very Low","Very Low","Low","Low",12,16,30,22,"Very Low","Very Low","Low","Low",10,18,27,23,"Very Low","Very Low","Low","Low",9,20,29,24
"979",17031816402,2015,17031,17,"IL",1360,-0.088690765,-0.011897447,-0.030636655,-0.014659053,"Very Low","Low","Low","Low",9,23,39,29,"Very Low","Low","Low","Low",8,25,34,28,"Very Low","Low","Low","Low",8,28,36,29
