"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"37",37063001900,2015,37063,37,"NC",517,0.040692057,0.0076411422,0.27718964,0.037645653,"High","Low","Very High","Very High",74,38,97,87,"High","Moderate","Very High","Very High",74,48,97,88,"Moderate","Low","Very High","High",59,37,94,80
"38",37063002007,2015,37063,37,"NC",906,0.012396209,0.039343704,0.27843589,0.038014054,"High","High","Very High","Very High",61,70,97,88,"High","Very High","Very High","Very High",63,88,97,89,"Low","High","Very High","High",39,77,95,80
"39",37063002008,2015,37063,37,"NC",692,0.064053275,0.058456328,0.38124946,0.057752337,"Very High","Very High","Very High","Very High",81,87,100,99,"Very High","Very High","Very High","Very High",81,99,100,99,"High","Very High","Very High","Very High",70,100,99,99
"40",37063002009,2015,37063,37,"NC",952,-0.053701051,-0.035710361,-0.19395299,-0.032352164,"Low","Very Low","Very Low","Very Low",23,11,15,14,"Low","Very Low","Very Low","Very Low",22,12,14,14,"Very Low","Very Low","Very Low","Very Low",15,7,15,12
"41",37063002013,2015,37063,37,"NC",907,0.053719696,0.037122577,0.19022563,0.032069094,"High","High","Very High","Very High",78,67,84,82,"High","Very High","Very High","Very High",78,85,86,84,"High","High","High","High",64,71,77,73
"42",37063002015,2015,37063,37,"NC",1587,-0.039387718,-0.025405826,-0.09191367,-0.017774321,"Low","Very Low","Low","Low",31,16,29,26,"Low","Very Low","Low","Low",33,17,31,28,"Very Low","Very Low","Low","Low",20,14,25,22
"43",37063002016,2015,37063,37,"NC",1444,0.00023424845,-0.019944938,-0.21437234,-0.027088461,"Moderate","Very Low","Very Low","Very Low",55,18,14,18,"Moderate","Very Low","Very Low","Very Low",57,20,12,19,"Low","Very Low","Very Low","Very Low",37,18,14,18
"44",37063002017,2015,37063,37,"NC",1559,0.038764186,0.043571565,0.17942981,0.029836182,"High","High","Very High","High",73,74,82,79,"High","Very High","Very High","Very High",74,91,84,82,"Moderate","Very High","High","High",58,89,75,70
"45",37063002018,2015,37063,37,"NC",1284,0.074789569,0.035561837,0.25546384,0.041846678,"Very High","High","Very High","Very High",84,65,94,91,"Very High","Very High","Very High","Very High",83,83,95,91,"High","High","Very High","Very High",77,69,90,86
"46",37063002019,2015,37063,37,"NC",561,0.095839217,0.038111117,0.16443232,0.033831868,"Very High","High","High","Very High",90,68,79,83,"Very High","Very High","Very High","Very High",88,86,81,85,"Very High","High","High","High",82,74,72,78
"47",37063002020,2015,37063,37,"NC",1754,0.068393663,0.043701015,0.38536131,0.057149906,"Very High","High","Very High","Very High",83,74,100,99,"Very High","Very High","Very High","Very High",82,91,100,99,"High","Very High","Very High","Very High",72,89,99,99
"48",37063002021,2015,37063,37,"NC",542,0.040735159,-0.00026623794,0.15107237,0.022104051,"High","Low","High","High",74,31,76,71,"High","Low","High","High",74,39,80,76,"Moderate","Low","High","Moderate",60,34,70,59
"49",37063002022,2015,37063,37,"NC",912,0.053172797,0.019883614,0.13825664,0.024121534,"High","Moderate","High","High",78,49,73,73,"High","High","High","High",78,64,77,78,"High","Moderate","High","Moderate",63,49,63,60
"50",37063002023,2015,37063,37,"NC",478,0.05685265,0.046091333,0.25879234,0.041362956,"High","High","Very High","Very High",79,76,94,90,"High","Very High","Very High","Very High",79,93,95,90,"High","Very High","Very High","Very High",66,91,92,85
"51",37063002024,2015,37063,37,"NC",1192,0.071570948,0.03754105,0.297084,0.04655382,"Very High","High","Very High","Very High",84,68,98,94,"Very High","Very High","Very High","Very High",83,85,98,93,"High","High","Very High","Very High",73,72,96,90
"52",37063002025,2015,37063,37,"NC",1812,0.054861311,0.040651936,0.1415633,0.026893985,"High","High","High","High",79,71,74,76,"High","Very High","High","High",79,89,78,80,"High","High","High","High",66,79,66,65
"53",37063002026,2015,37063,37,"NC",1626,0.023978516,0.0077634174,-0.028992744,9.7421231e-05,"High","Low","Low","Moderate",67,38,39,45,"High","Moderate","Moderate","Moderate",68,48,43,50,"Moderate","Low","Low","Low",44,39,35,34
"54",37063002027,2015,37063,37,"NC",2017,0.03409316,0.024182647,-0.052116819,0.00026016138,"High","Moderate","Low","Moderate",71,53,35,45,"High","High","Low","Moderate",72,69,37,51,"Moderate","High","Low","Low",56,62,31,35
"55",37063002028,2015,37063,37,"NC",1396,0.026276514,0.023388559,0.17571874,0.025882149,"High","Moderate","Very High","High",68,53,81,75,"High","High","Very High","High",69,68,83,79,"Moderate","Moderate","High","High",45,59,73,62
"56",37063002100,2015,37063,37,"NC",1124,0.029731862,0.038988296,-0.06005244,0.00041964962,"High","High","Low","Moderate",69,69,34,45,"High","Very High","Low","Moderate",70,87,36,51,"Moderate","High","Low","Low",47,76,29,37
"57",37063002200,2015,37063,37,"NC",328,0.0010181426,-0.0066182259,-0.028989993,-0.0039692456,"Moderate","Low","Low","Low",55,27,39,40,"Moderate","Low","Moderate","Moderate",57,32,43,45,"Low","Low","Low","Low",38,28,36,33
"58",37063002300,2015,37063,37,"NC",248,-0.057112608,-0.019317916,-0.33022836,-0.046887439,"Low","Very Low","Very Low","Very Low",21,19,6,8,"Very Low","Very Low","Very Low","Very Low",20,20,5,6,"Very Low","Low","Very Low","Very Low",14,21,7,8
