"","...1","fips","FIPS.x","stateName","countyName","ccvi","adi.median3","adi.mean3","adi.median3.uw","adi.mean3.uw","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","coi_num"
"1",1,"22071000100",22071000100,"LOUISIANA","Orleans",0.259874482204458,1,1,1,1,22071000100,22,"LOUISIANA","LA",22071,"Orleans",22071000100,"Census Tract 1, Orleans Parish, Louisiana",0.0557,0.0557,2015,22071,22,"LA",488,0.007659,-0.04131,0.121824,0.010681,"Moderate","Very Low","High","Moderate",59,10,70,58,"High","Very Low","Very High","High",77,17,85,79,"High","Very Low","High","High",65,19,80,72,4
"2",2,"22071000200",22071000200,"LOUISIANA","Orleans",0.629916460010252,4,4.5,4.5,4.5,22071000200,22,"LOUISIANA","LA",22071,"Orleans",22071000200,"Census Tract 2, Orleans Parish, Louisiana",0.5647,0.5647,2015,22071,22,"LA",260,-0.02565,-0.12718,-0.32246,-0.05392,"Low","Very Low","Very Low","Very Low",39,1,7,5,"Moderate","Very Low","Very Low","Very Low",48,1,13,9,"Low","Very Low","Very Low","Very Low",32,1,13,6,1
"3",3,"22071000300",22071000300,"LOUISIANA","Orleans",0.634903922084759,6,7,7,7,22071000300,22,"LOUISIANA","LA",22071,"Orleans",22071000300,"Census Tract 3, Orleans Parish, Louisiana",0.6466,0.6466,2015,22071,22,"LA",175,-0.02739,-0.12688,-0.17382,-0.03675,"Low","Very Low","Very Low","Very Low",38,1,18,12,"Moderate","Very Low","Low","Low",46,1,31,22,"Low","Very Low","Low","Very Low",29,1,30,20,2
"4",4,"22071000400",22071000400,"LOUISIANA","Orleans",0.653496072373616,4,5,5,5,22071000400,22,"LOUISIANA","LA",22071,"Orleans",22071000400,"Census Tract 4, Orleans Parish, Louisiana",0.7125,0.7125,2015,22071,22,"LA",479,-0.01352,-0.09407,-0.36646,-0.0542,"Moderate","Very Low","Very Low","Very Low",47,2,5,5,"Moderate","Very Low","Very Low","Very Low",60,3,9,9,"Moderate","Very Low","Very Low","Very Low",45,4,7,6,1
"5",5,"22071000601",22071000601,"LOUISIANA","Orleans",0.552250592261121,6,6,6,6,22071000601,22,"LOUISIANA","LA",22071,"Orleans",22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",0.6681,0.6681,2015,22071,22,"LA",220,-0.00655,-0.09907,-0.67473,-0.08991,"Moderate","Very Low","Very Low","Very Low",51,2,1,1,"High","Very Low","Very Low","Very Low",66,3,1,1,"Moderate","Very Low","Very Low","Very Low",49,2,1,1,1
"6",6,"22071000602",22071000602,"LOUISIANA","Orleans",0.691996508776548,7.5,7.66666666666667,8,7.66666666666667,22071000602,22,"LOUISIANA","LA",22071,"Orleans",22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",0.7661,0.7661,2015,22071,22,"LA",584,-0.02082,-0.04463,-0.12278,-0.02135,"Moderate","Very Low","Low","Low",42,9,24,23,"Moderate","Very Low","Low","Low",53,16,39,36,"Low","Very Low","Low","Low",36,17,37,32,2
"7",7,"22071000603",22071000603,"LOUISIANA","Orleans",0.818137737077624,7,7,7,7,22071000603,22,"LOUISIANA","LA",22071,"Orleans",22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",0.9308,0.9308,2015,22071,22,"LA",290,-0.00638,-0.03454,-0.66302,-0.08169,"Moderate","Very Low","Very Low","Very Low",51,12,1,1,"High","Low","Very Low","Very Low",66,22,1,1,"Moderate","Low","Very Low","Very Low",49,22,1,1,1
"8",8,"22071000604",22071000604,"LOUISIANA","Orleans",0.765852509663208,6.5,7,7,7,22071000604,22,"LOUISIANA","LA",22071,"Orleans",22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",0.8271,0.8271,2015,22071,22,"LA",1134,0.004383,-0.00807,-0.35282,-0.04152,"Moderate","Low","Very Low","Very Low",57,25,5,10,"High","Moderate","Very Low","Very Low",76,41,10,17,"High","Low","Very Low","Very Low",62,40,10,15,1
"9",9,"22071000605",22071000605,"LOUISIANA","Orleans",0.668971058865907,6,7,7,7,22071000605,22,"LOUISIANA","LA",22071,"Orleans",22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",0.7773,0.7773,2015,22071,22,"LA",646,-0.01347,-0.01754,-0.20697,-0.02749,"Moderate","Very Low","Very Low","Very Low",47,20,14,18,"Moderate","Low","Low","Low",60,32,26,30,"Moderate","Low","Low","Low",45,31,25,27,2
"10",10,"22071000606",22071000606,"LOUISIANA","Orleans",0.694781175101481,3,3.33333333333333,3,3.33333333333333,22071000606,22,"LOUISIANA","LA",22071,"Orleans",22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",0.3384,0.3384,2015,22071,22,"LA",778,0.016714,0.027796,0.074079,0.013436,"High","Moderate","Moderate","High",63,57,60,61,"Very High","Very High","High","Very High",84,83,78,81,"High","High","High","High",77,78,73,74,5
"11",11,"22071000607",22071000607,"LOUISIANA","Orleans",0.460342749477009,2.5,2.66666666666667,3,2.66666666666667,22071000607,22,"LOUISIANA","LA",22071,"Orleans",22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",0.3377,0.3377,2015,22071,22,"LA",1450,0.021048,0.032528,0.143596,0.022525,"High","High","High","High",65,62,74,71,"Very High","Very High","Very High","Very High",87,89,88,91,"High","Very High","Very High","Very High",78,82,83,87,5
"12",12,"22071000611",22071000611,"LOUISIANA","Orleans",0.890137293747662,6,7,7,7,22071000611,22,"LOUISIANA","LA",22071,"Orleans",22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",0.9403,0.9403,2015,22071,22,"LA",1306,-0.00603,-0.04321,-0.25317,-0.03477,"Moderate","Very Low","Very Low","Very Low",51,9,10,13,"High","Very Low","Low","Low",66,17,21,23,"Moderate","Very Low","Very Low","Low",50,19,20,21,2
"13",13,"22071000612",22071000612,"LOUISIANA","Orleans",0.0948310497222261,1,1,1,1,22071000612,22,"LOUISIANA","LA",22071,"Orleans",22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",0.0641,0.0641,2015,22071,22,"LA",438,0.046889,0.007492,0.190132,0.028163,"High","Low","Very High","High",76,37,84,78,"Very High","Moderate","Very High","Very High",95,60,96,94,"Very High","Moderate","Very High","Very High",88,55,94,91,5
"14",14,"22071000613",22071000613,"LOUISIANA","Orleans",0.840082570205456,4,5,6,5,22071000613,22,"LOUISIANA","LA",22071,"Orleans",22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",0.9884,0.9884,2015,22071,22,"LA",1637,0.000726,-0.00833,-0.36422,-0.04328,"Moderate","Low","Very Low","Very Low",55,25,5,9,"High","Moderate","Very Low","Very Low",73,41,9,16,"Moderate","Low","Very Low","Very Low",59,39,8,13,1
"15",15,"22071000615",22071000615,"LOUISIANA","Orleans",0.595502971696153,5,5.5,5.5,5.5,22071000615,22,"LOUISIANA","LA",22071,"Orleans",22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",0.612,0.612,2015,22071,22,"LA",1248,0.013539,0.008211,-0.14885,-0.01499,"High","Low","Low","Low",62,38,21,28,"Very High","High","Low","Moderate",82,61,34,44,"High","Moderate","Low","Low",73,58,33,40,3
"16",16,"22071000616",22071000616,"LOUISIANA","Orleans",0.923996619609038,3.5,4.33333333333333,4,4.33333333333333,22071000616,22,"LOUISIANA","LA",22071,"Orleans",22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",0.8673,0.8673,2015,22071,22,"LA",1250,0.016579,-0.04397,0.006489,-0.00206,"High","Very Low","Moderate","Moderate",63,9,46,42,"Very High","Very Low","High","High",84,17,64,62,"High","Very Low","Moderate","Moderate",75,18,58,55,4
"17",17,"22071000617",22071000617,"LOUISIANA","Orleans",0.880093099292057,4,4.5,4.5,4.5,22071000617,22,"LOUISIANA","LA",22071,"Orleans",22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",0.8449,0.8449,2015,22071,22,"LA",1346,0.023177,-0.0272,-0.21595,-0.0255,"High","Very Low","Very Low","Very Low",66,15,13,19,"Very High","Low","Low","Low",88,25,25,31,"High","Low","Low","Low",80,27,24,29,2
"18",18,"22071000618",22071000618,"LOUISIANA","Orleans",0.648785691525471,1,1.5,1.5,1.5,22071000618,22,"LOUISIANA","LA",22071,"Orleans",22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",0.4129,0.4129,2015,22071,22,"LA",1129,0.042456,-0.00172,0.132975,0.02003,"High","Low","High","High",74,30,72,69,"Very High","Moderate","Very High","Very High",95,49,86,88,"Very High","Moderate","Very High","Very High",88,47,81,84,5
"19",19,"22071000701",22071000701,"LOUISIANA","Orleans",0.762513680885552,5.5,7,6,7,22071000701,22,"LOUISIANA","LA",22071,"Orleans",22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",0.9117,0.9117,2015,22071,22,"LA",156,-0.04572,-0.09146,-0.47074,-0.06965,"Low","Very Low","Very Low","Very Low",27,2,2,2,"Low","Very Low","Very Low","Very Low",32,4,3,3,"Very Low","Very Low","Very Low","Very Low",12,4,3,2,1
"20",20,"22071000702",22071000702,"LOUISIANA","Orleans",0.719441404247655,3.5,4.33333333333333,5,4.33333333333333,22071000702,22,"LOUISIANA","LA",22071,"Orleans",22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",0.7961,0.7961,2015,22071,22,"LA",464,-0.0114,-0.09518,-0.16567,-0.03067,"Moderate","Very Low","Very Low","Very Low",48,2,19,16,"High","Very Low","Low","Low",62,3,32,26,"Moderate","Very Low","Low","Low",45,3,30,24,2
"21",21,"22071000800",22071000800,"LOUISIANA","Orleans",0.815117551710284,3.5,4,4,4,22071000800,22,"LOUISIANA","LA",22071,"Orleans",22071000800,"Census Tract 8, Orleans Parish, Louisiana",0.7678,0.7678,2015,22071,22,"LA",345,-0.02585,-0.10306,-0.44226,-0.06536,"Low","Very Low","Very Low","Very Low",39,2,3,3,"Moderate","Very Low","Very Low","Very Low",47,2,3,4,"Low","Very Low","Very Low","Very Low",31,2,3,3,1
"22",22,"22071000901",22071000901,"LOUISIANA","Orleans",0.528657125836439,5,5.25,5,5.25,22071000901,22,"LOUISIANA","LA",22071,"Orleans",22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",0.539,0.539,2015,22071,22,"LA",254,-0.02917,-0.12592,-0.21983,-0.04221,"Low","Very Low","Very Low","Very Low",37,1,13,9,"Moderate","Very Low","Low","Very Low",45,1,24,16,"Low","Very Low","Low","Very Low",28,1,23,14,1
"23",23,"22071000902",22071000902,"LOUISIANA","Orleans",0.606018204236572,4.5,6,6,6,22071000902,22,"LOUISIANA","LA",22071,"Orleans",22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",0.7641,0.7641,2015,22071,22,"LA",178,-0.01945,-0.01358,-0.25592,-0.03344,"Moderate","Low","Very Low","Very Low",43,22,10,14,"Moderate","Low","Very Low","Low",54,36,20,24,"Low","Low","Very Low","Low",37,35,20,22,2
"24",24,"22071000903",22071000903,"LOUISIANA","Orleans",0.667156176833239,6,7,7,7,22071000903,22,"LOUISIANA","LA",22071,"Orleans",22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",0.8024,0.8024,2015,22071,22,"LA",123,-0.02877,-0.11058,-0.39453,-0.06091,"Low","Very Low","Very Low","Very Low",37,1,4,4,"Moderate","Very Low","Very Low","Very Low",45,2,6,5,"Low","Very Low","Very Low","Very Low",28,1,6,3,1
"25",25,"22071000904",22071000904,"LOUISIANA","Orleans",0.830841911306299,6,7,7,7,22071000904,22,"LOUISIANA","LA",22071,"Orleans",22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",0.877,0.877,2015,22071,22,"LA",193,-0.02181,-0.10804,-0.46977,-0.06865,"Moderate","Very Low","Very Low","Very Low",42,1,2,3,"Moderate","Very Low","Very Low","Very Low",52,2,3,3,"Low","Very Low","Very Low","Very Low",35,2,3,2,1
"26",26,"22071001100",22071001100,"LOUISIANA","Orleans",0.544603150413544,2,2,2,2,22071001100,22,"LOUISIANA","LA",22071,"Orleans",22071001100,"Census Tract 11, Orleans Parish, Louisiana",0.4762,0.4762,2015,22071,22,"LA",247,-0.01266,-0.06789,-0.18052,-0.02965,"Moderate","Very Low","Very Low","Very Low",47,4,17,16,"High","Very Low","Low","Low",61,9,30,27,"Moderate","Very Low","Low","Low",45,10,29,25,2
"27",27,"22071001200",22071001200,"LOUISIANA","Orleans",0.432967124312492,1,1,1,1,22071001200,22,"LOUISIANA","LA",22071,"Orleans",22071001200,"Census Tract 12, Orleans Parish, Louisiana",0.2184,0.2184,2015,22071,22,"LA",94,0.00422,-0.01455,0.168926,0.018628,"Moderate","Low","High","High",57,21,80,67,"High","Low","Very High","Very High",76,35,93,86,"High","Low","Very High","High",62,34,91,80,5
"28",28,"22071001301",22071001301,"LOUISIANA","Orleans",0.917748437954586,3,4,4,4,22071001301,22,"LOUISIANA","LA",22071,"Orleans",22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",0.9396,0.9396,2015,22071,22,"LA",275,-0.03765,-0.06028,-0.3354,-0.04967,"Low","Very Low","Very Low","Very Low",32,5,6,7,"Low","Very Low","Very Low","Very Low",38,11,12,12,"Very Low","Very Low","Very Low","Very Low",19,13,12,9,1
"29",29,"22071001302",22071001302,"LOUISIANA","Orleans",0.723375957661989,6,6,6,6,22071001302,22,"LOUISIANA","LA",22071,"Orleans",22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",0.6702,0.6702,2015,22071,22,"LA",138,-0.04939,-0.06778,-0.47348,-0.06787,"Low","Very Low","Very Low","Very Low",25,4,2,3,"Low","Very Low","Very Low","Very Low",29,9,3,3,"Very Low","Very Low","Very Low","Very Low",10,10,3,2,1
"30",30,"22071001401",22071001401,"LOUISIANA","Orleans",0.727365927321594,7.5,8.83333333333333,9,8.83333333333333,22071001401,22,"LOUISIANA","LA",22071,"Orleans",22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",0.7569,0.7569,2015,22071,22,"LA",334,-0.03568,-0.12819,-0.47074,-0.07243,"Low","Very Low","Very Low","Very Low",33,1,2,2,"Low","Very Low","Very Low","Very Low",40,1,3,3,"Low","Very Low","Very Low","Very Low",21,1,3,2,1
"31",31,"22071001402",22071001402,"LOUISIANA","Orleans",0.770535182388717,7,7.5,8,7.5,22071001402,22,"LOUISIANA","LA",22071,"Orleans",22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",0.6945,0.6945,2015,22071,22,"LA",505,-0.01553,-0.06216,-0.21983,-0.03394,"Moderate","Very Low","Very Low","Very Low",46,5,13,14,"Moderate","Very Low","Low","Low",58,10,24,24,"Moderate","Very Low","Low","Low",42,12,23,22,2
"32",32,"22071001500",22071001500,"LOUISIANA","Orleans",0.757443094443136,6,7,7,7,22071001500,22,"LOUISIANA","LA",22071,"Orleans",22071001500,"Census Tract 15, Orleans Parish, Louisiana",0.8823,0.8823,2015,22071,22,"LA",169,-0.04153,-0.04711,-0.53844,-0.07239,"Low","Very Low","Very Low","Very Low",30,8,1,2,"Low","Very Low","Very Low","Very Low",35,15,1,3,"Very Low","Very Low","Very Low","Very Low",16,16,2,2,1
"33",33,"22071001701",22071001701,"LOUISIANA","Orleans",0.69788448483673,5,5.66666666666667,6,5.66666666666667,22071001701,22,"LOUISIANA","LA",22071,"Orleans",22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",0.8922,0.8922,2015,22071,22,"LA",581,0.013885,-0.01113,-0.32517,-0.03757,"High","Low","Very Low","Very Low",62,24,6,12,"Very High","Low","Very Low","Low",82,38,12,21,"High","Low","Very Low","Very Low",74,36,12,19,2
"34",34,"22071001702",22071001702,"LOUISIANA","Orleans",0.784638616810518,6.5,6.66666666666667,7,6.66666666666667,22071001702,22,"LOUISIANA","LA",22071,"Orleans",22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",0.8634,0.8634,2015,22071,22,"LA",773,0.001182,0.010975,-0.14488,-0.0156,"Moderate","Low","Low","Low",55,40,21,28,"High","High","Low","Moderate",74,65,35,43,"Moderate","High","Low","Low",59,62,34,40,3
"35",35,"22071001720",22071001720,"LOUISIANA","Orleans",0.633296850971862,6.5,6.75,7,6.75,22071001720,22,"LOUISIANA","LA",22071,"Orleans",22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",0.8214,0.8214,2015,22071,22,"LA",799,-0.01902,-0.06427,-0.42928,-0.05898,"Moderate","Very Low","Very Low","Very Low",44,5,3,4,"Moderate","Very Low","Very Low","Very Low",55,9,4,6,"Low","Very Low","Very Low","Very Low",38,11,4,4,1
"36",36,"22071001722",22071001722,"LOUISIANA","Orleans",0.846178357185409,6.5,6.85714285714286,7,6.85714285714286,22071001722,22,"LOUISIANA","LA",22071,"Orleans",22071001722,"Census Tract 17.22, Orleans Parish, Louisiana",0.95,0.95,2015,22071,22,"LA",1003,0.005188,-0.09814,-0.33822,-0.04927,"Moderate","Very Low","Very Low","Very Low",57,2,6,7,"High","Very Low","Very Low","Very Low",76,3,12,12,"High","Very Low","Very Low","Very Low",63,3,12,9,1
"37",37,"22071001723",22071001723,"LOUISIANA","Orleans",0.718069852177166,5,5.25,5.5,5.25,22071001723,22,"LOUISIANA","LA",22071,"Orleans",22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",0.6772,0.6772,2015,22071,22,"LA",968,0.01063,-5.8e-05,-0.22214,-0.02474,"Moderate","Low","Very Low","Very Low",60,31,13,20,"High","Moderate","Low","Low",80,50,24,33,"High","Moderate","Low","Low",69,48,23,30,2
"38",38,"22071001724",22071001724,"LOUISIANA","Orleans",0.80744240174007,4,4.75,5,4.75,22071001724,22,"LOUISIANA","LA",22071,"Orleans",22071001724,"Census Tract 17.24, Orleans Parish, Louisiana",0.938,0.938,2015,22071,22,"LA",1290,0.016649,-0.0702,-0.30873,-0.0416,"High","Very Low","Very Low","Very Low",63,4,7,10,"Very High","Very Low","Very Low","Very Low",84,8,14,17,"High","Very Low","Very Low","Very Low",76,10,14,14,1
"39",39,"22071001725",22071001725,"LOUISIANA","Orleans",0.823485404746401,5,5.5,6,5.5,22071001725,22,"LOUISIANA","LA",22071,"Orleans",22071001725,"Census Tract 17.25, Orleans Parish, Louisiana",0.8718,0.8718,2015,22071,22,"LA",1844,0.010905,-0.04966,-0.25805,-0.03415,"Moderate","Very Low","Very Low","Very Low",60,7,10,13,"High","Very Low","Very Low","Low",80,14,20,24,"High","Very Low","Very Low","Low",69,15,19,22,2
"40",40,"22071001730",22071001730,"LOUISIANA","Orleans",0.492137820201992,5,5,5,5,22071001730,22,"LOUISIANA","LA",22071,"Orleans",22071001730,"Census Tract 17.30, Orleans Parish, Louisiana",0.6625,0.6625,2015,22071,22,"LA",248,-0.02548,0.023117,-0.10002,-0.01204,"Low","Moderate","Low","Low",39,52,27,31,"Moderate","High","Moderate","Moderate",48,79,42,48,"Low","High","Low","Moderate",32,72,40,44,3
"41",41,"22071001734",22071001734,"LOUISIANA","Orleans",0.0774442027680415,2,2,2,2,22071001734,22,"LOUISIANA","LA",22071,"Orleans",22071001734,"Census Tract 17.34, Orleans Parish, Louisiana",0.2162,0.2162,2015,22071,22,"LA",144,-0.03277,0.020494,0.131855,0.013919,"Low","Moderate","High","High",35,50,72,62,"Moderate","High","Very High","Very High",41,76,86,82,"Low","High","Very High","High",24,69,81,75,5
"42",42,"22071001735",22071001735,"LOUISIANA","Orleans",0.710630221249359,6,6.5,6.5,6.5,22071001735,22,"LOUISIANA","LA",22071,"Orleans",22071001735,"Census Tract 17.35, Orleans Parish, Louisiana",0.8014,0.8014,2015,22071,22,"LA",479,-0.00587,-0.09853,-0.36103,-0.05319,"Moderate","Very Low","Very Low","Very Low",51,2,5,6,"High","Very Low","Very Low","Very Low",66,3,9,9,"Moderate","Very Low","Very Low","Very Low",50,3,8,6,1
"43",43,"22071001736",22071001736,"LOUISIANA","Orleans",0.632008423269281,7,7,7,7,22071001736,22,"LOUISIANA","LA",22071,"Orleans",22071001736,"Census Tract 17.36, Orleans Parish, Louisiana",0.8536,0.8536,2015,22071,22,"LA",483,0.000323,-0.0583,-0.35018,-0.04698,"Moderate","Very Low","Very Low","Very Low",55,6,5,8,"High","Very Low","Very Low","Very Low",73,12,10,14,"Moderate","Very Low","Very Low","Very Low",59,14,11,11,1
"44",44,"22071001737",22071001737,"LOUISIANA","Orleans",0.710976572782311,6.5,6.66666666666667,7,6.66666666666667,22071001737,22,"LOUISIANA","LA",22071,"Orleans",22071001737,"Census Tract 17.37, Orleans Parish, Louisiana",0.7682,0.7682,2015,22071,22,"LA",884,0.015873,-0.02873,-0.38386,-0.04605,"High","Very Low","Very Low","Very Low",63,14,4,8,"Very High","Low","Very Low","Very Low",83,24,7,15,"High","Low","Very Low","Very Low",75,25,6,11,1
"45",45,"22071001739",22071001739,"LOUISIANA","Orleans",0.56708829193278,3,3.5,3.5,3.5,22071001739,22,"LOUISIANA","LA",22071,"Orleans",22071001739,"Census Tract 17.39, Orleans Parish, Louisiana",0.6179,0.6179,2015,22071,22,"LA",510,0.028843,0.004149,-0.14994,-0.01385,"High","Low","Low","Low",69,35,21,30,"Very High","Moderate","Low","Moderate",90,56,34,45,"Very High","Moderate","Low","Moderate",83,52,32,41,3
"46",46,"22071001740",22071001740,"LOUISIANA","Orleans",0.620315595516826,4,4.66666666666667,5,4.66666666666667,22071001740,22,"LOUISIANA","LA",22071,"Orleans",22071001740,"Census Tract 17.40, Orleans Parish, Louisiana",0.7508,0.7508,2015,22071,22,"LA",1406,0.026022,-0.0152,-0.25791,-0.02881,"High","Low","Very Low","Very Low",68,21,10,17,"Very High","Low","Very Low","Low",89,34,20,28,"Very High","Low","Very Low","Low",82,33,20,25,2
"47",47,"22071001741",22071001741,"LOUISIANA","Orleans",0.672670093237833,6,6,6,6,22071001741,22,"LOUISIANA","LA",22071,"Orleans",22071001741,"Census Tract 17.41, Orleans Parish, Louisiana",0.7527,0.7527,2015,22071,22,"LA",305,-0.02834,0.010766,-0.13822,-0.01812,"Low","Low","Low","Low",38,40,22,26,"Moderate","High","Low","Low",45,64,36,39,"Low","High","Low","Low",29,61,35,36,2
"48",48,"22071001743",22071001743,"LOUISIANA","Orleans",0.771130907025394,3,3,3,3,22071001743,22,"LOUISIANA","LA",22071,"Orleans",22071001743,"Census Tract 17.43, Orleans Parish, Louisiana",0.8434,0.8434,2015,22071,22,"LA",778,0.012266,-0.10663,-0.22973,-0.03673,"High","Very Low","Very Low","Very Low",61,1,12,12,"Very High","Very Low","Low","Low",81,2,24,22,"High","Very Low","Low","Very Low",71,2,22,20,2
"49",49,"22071001744",22071001744,"LOUISIANA","Orleans",0.766462088361203,5,6.33333333333333,5,6.33333333333333,22071001744,22,"LOUISIANA","LA",22071,"Orleans",22071001744,"Census Tract 17.44, Orleans Parish, Louisiana",0.846,0.846,2015,22071,22,"LA",1672,0.009285,-0.07794,-0.37864,-0.05139,"Moderate","Very Low","Very Low","Very Low",59,3,4,6,"High","Very Low","Very Low","Very Low",79,6,7,10,"High","Very Low","Very Low","Very Low",67,7,6,8,1
"50",50,"22071001745",22071001745,"LOUISIANA","Orleans",0.73682825120184,4,5,5,5,22071001745,22,"LOUISIANA","LA",22071,"Orleans",22071001745,"Census Tract 17.45, Orleans Parish, Louisiana",0.8136,0.8136,2015,22071,22,"LA",916,0.011941,-0.04434,-0.31755,-0.04041,"High","Very Low","Very Low","Very Low",61,9,7,10,"Very High","Very Low","Very Low","Very Low",81,16,13,19,"High","Very Low","Very Low","Very Low",71,18,13,16,1
"51",51,"22071001746",22071001746,"LOUISIANA","Orleans",0.93780911874316,6,7,6,7,22071001746,22,"LOUISIANA","LA",22071,"Orleans",22071001746,"Census Tract 17.46, Orleans Parish, Louisiana",0.8308,0.8308,2015,22071,22,"LA",1112,-0.00036,-0.04316,-0.40223,-0.05152,"Moderate","Very Low","Very Low","Very Low",54,9,4,6,"High","Very Low","Very Low","Very Low",73,17,6,10,"Moderate","Very Low","Very Low","Very Low",58,19,5,7,1
"52",52,"22071001747",22071001747,"LOUISIANA","Orleans",0.274019478810213,1,1.5,1.5,1.5,22071001747,22,"LOUISIANA","LA",22071,"Orleans",22071001747,"Census Tract 17.47, Orleans Parish, Louisiana",0.0894,0.0894,2015,22071,22,"LA",852,0.028952,0.039327,0.128512,0.022361,"High","High","High","High",69,70,71,71,"Very High","Very High","Very High","Very High",90,94,86,91,"Very High","Very High","Very High","Very High",84,90,81,87,5
"53",53,"22071001748",22071001748,"LOUISIANA","Orleans",0.639558886687632,5,5.25,5,5.25,22071001748,22,"LOUISIANA","LA",22071,"Orleans",22071001748,"Census Tract 17.48, Orleans Parish, Louisiana",0.6645,0.6645,2015,22071,22,"LA",1339,0.008068,-0.01763,-0.10611,-0.01335,"Moderate","Very Low","Low","Low",59,20,26,30,"High","Low","Moderate","Moderate",78,32,42,45,"High","Low","Low","Moderate",65,31,39,42,3
"54",54,"22071001749",22071001749,"LOUISIANA","Orleans",0.806749698674166,5,6,6,6,22071001749,22,"LOUISIANA","LA",22071,"Orleans",22071001749,"Census Tract 17.49, Orleans Parish, Louisiana",0.8669,0.8669,2015,22071,22,"LA",1064,-0.03095,-0.00262,-0.23006,-0.03054,"Low","Low","Very Low","Very Low",36,29,12,16,"Moderate","Moderate","Low","Low",43,48,24,26,"Low","Moderate","Low","Low",25,46,21,24,2
"55",55,"22071001750",22071001750,"LOUISIANA","Orleans",0.833709701999141,7.5,7.66666666666667,8,7.66666666666667,22071001750,22,"LOUISIANA","LA",22071,"Orleans",22071001750,"Census Tract 17.50, Orleans Parish, Louisiana",0.9411,0.9411,2015,22071,22,"LA",1182,-0.03863,-0.02122,-0.31702,-0.0435,"Low","Very Low","Very Low","Very Low",31,18,7,9,"Low","Low","Very Low","Very Low",37,30,13,16,"Very Low","Low","Very Low","Very Low",19,30,14,13,1
"56",56,"22071001751",22071001751,"LOUISIANA","Orleans",0.935232263337998,10,10,10,10,22071001751,22,"LOUISIANA","LA",22071,"Orleans",22071001751,"Census Tract 17.51, Orleans Parish, Louisiana",0.9954,0.9954,2015,22071,22,"LA",132,0.005478,-0.16098,-0.57532,-0.08354,"Moderate","Very Low","Very Low","Very Low",57,1,1,1,"High","Very Low","Very Low","Very Low",77,1,1,1,"High","Very Low","Very Low","Very Low",63,1,1,1,1
"57",57,"22071001800",22071001800,"LOUISIANA","Orleans",0.533810836646763,1,1,1,1,22071001800,22,"LOUISIANA","LA",22071,"Orleans",22071001800,"Census Tract 18, Orleans Parish, Louisiana",0.3575,0.3575,2015,22071,22,"LA",90,-0.01171,-0.00349,0.23672,0.025941,"Moderate","Low","Very High","High",48,29,92,75,"High","Moderate","Very High","Very High",62,47,99,93,"Moderate","Moderate","Very High","Very High",45,44,97,90,5
"58",58,"22071001900",22071001900,"LOUISIANA","Orleans",0.829719732339535,4.5,5,5,5,22071001900,22,"LOUISIANA","LA",22071,"Orleans",22071001900,"Census Tract 19, Orleans Parish, Louisiana",0.7859,0.7859,2015,22071,22,"LA",111,-0.05207,-0.09642,-0.39926,-0.06255,"Low","Very Low","Very Low","Very Low",24,2,4,4,"Low","Very Low","Very Low","Very Low",27,3,6,5,"Very Low","Very Low","Very Low","Very Low",8,3,6,3,1
