"","...1","fips","FIPS.x","stateName","countyName","ccvi","adi.median3","adi.mean3","adi.median3.uw","adi.mean3.uw","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","coi_num"
"107",107,"22071007101",22071007101,"LOUISIANA","Orleans",0.798755905293637,6,6,6,6,22071007101,22,"LOUISIANA","LA",22071,"Orleans",22071007101,"Census Tract 71.01, Orleans Parish, Louisiana",0.8103,0.8103,2015,22071,22,"LA",248,0.004316,-0.10062,-0.38995,-0.05566,"Moderate","Very Low","Very Low","Very Low",57,2,4,5,"High","Very Low","Very Low","Very Low",76,3,7,8,"High","Very Low","Very Low","Very Low",62,2,6,5,1
"108",108,"22071007200",22071007200,"LOUISIANA","Orleans",0.930840525900168,7,7.33333333333333,7,7.33333333333333,22071007200,22,"LOUISIANA","LA",22071,"Orleans",22071007200,"Census Tract 72, Orleans Parish, Louisiana",0.986,0.986,2015,22071,22,"LA",808,-0.00374,-0.08397,-0.43028,-0.05949,"Moderate","Very Low","Very Low","Very Low",52,3,3,4,"High","Very Low","Very Low","Very Low",69,5,4,6,"Moderate","Very Low","Very Low","Very Low",52,6,4,3,1
"109",109,"22071007501",22071007501,"LOUISIANA","Orleans",0.838530915337831,6.5,7.2,7,7.2,22071007501,22,"LOUISIANA","LA",22071,"Orleans",22071007501,"Census Tract 75.01, Orleans Parish, Louisiana",0.8312,0.8312,2015,22071,22,"LA",532,0.018256,-0.09052,-0.35112,-0.04852,"High","Very Low","Very Low","Very Low",64,2,5,7,"Very High","Very Low","Very Low","Very Low",85,4,10,13,"High","Very Low","Very Low","Very Low",77,4,10,10,1
"110",110,"22071007502",22071007502,"LOUISIANA","Orleans",0.92506338233053,5.5,6,6,6,22071007502,22,"LOUISIANA","LA",22071,"Orleans",22071007502,"Census Tract 75.02, Orleans Parish, Louisiana",0.932,0.932,2015,22071,22,"LA",772,0.006076,-0.10561,-0.38375,-0.05527,"Moderate","Very Low","Very Low","Very Low",58,1,4,5,"High","Very Low","Very Low","Very Low",77,2,7,8,"High","Very Low","Very Low","Very Low",64,2,6,6,1
"111",111,"22071007604",22071007604,"LOUISIANA","Orleans",0.0669843864728945,1,1,1,1,22071007604,22,"LOUISIANA","LA",22071,"Orleans",22071007604,"Census Tract 76.04, Orleans Parish, Louisiana",0.0052,0.0052,2015,22071,22,"LA",485,0.047304,0.030014,0.372764,0.051895,"High","Moderate","Very High","Very High",76,60,100,97,"Very High","Very High","Very High","Very High",95,86,100,100,"Very High","High","Very High","Very High",88,80,100,100,5
"112",112,"22071007605",22071007605,"LOUISIANA","Orleans",0.838378520663332,6,7.5,7.5,7.5,22071007605,22,"LOUISIANA","LA",22071,"Orleans",22071007605,"Census Tract 76.05, Orleans Parish, Louisiana",0.9066,0.9066,2015,22071,22,"LA",355,-0.00734,-0.10929,-0.32878,-0.05073,"Moderate","Very Low","Very Low","Very Low",50,1,6,6,"High","Very Low","Very Low","Very Low",65,2,12,11,"Moderate","Very Low","Very Low","Very Low",48,1,12,9,1
"113",113,"22071007606",22071007606,"LOUISIANA","Orleans",0.36049652955764,1,1.33333333333333,1,1.33333333333333,22071007606,22,"LOUISIANA","LA",22071,"Orleans",22071007606,"Census Tract 76.06, Orleans Parish, Louisiana",0.1773,0.1773,2015,22071,22,"LA",776,0.044686,0.017977,0.088531,0.01718,"High","Moderate","High","High",75,47,63,65,"Very High","High","Very High","Very High",95,73,81,85,"Very High","High","High","High",88,69,75,78,5
"114",114,"22071007700",22071007700,"LOUISIANA","Orleans",0.252033083498428,1,1,1,1,22071007700,22,"LOUISIANA","LA",22071,"Orleans",22071007700,"Census Tract 77, Orleans Parish, Louisiana",0.1663,0.1663,2015,22071,22,"LA",115,0.049638,-0.01934,-0.07541,-0.00534,"High","Very Low","Low","Low",77,19,31,39,"Very High","Low","Moderate","Moderate",96,31,46,58,"Very High","Low","Moderate","Moderate",89,30,43,51,3
"115",115,"22071007800",22071007800,"LOUISIANA","Orleans",0.504440226652443,1,1,1,1,22071007800,22,"LOUISIANA","LA",22071,"Orleans",22071007800,"Census Tract 78, Orleans Parish, Louisiana",0.3086,0.3086,2015,22071,22,"LA",156,0.051394,-0.03925,-0.04075,-0.00322,"High","Very Low","Low","Moderate",77,10,37,41,"Very High","Very Low","Moderate","High",96,19,55,61,"Very High","Low","Moderate","Moderate",89,22,50,53,4
"116",116,"22071008200",22071008200,"LOUISIANA","Orleans",0.41815713276347,1,1,1,1,22071008200,22,"LOUISIANA","LA",22071,"Orleans",22071008200,"Census Tract 82, Orleans Parish, Louisiana",0.2051,0.2051,2015,22071,22,"LA",105,0.030212,-0.01548,0.029018,0.005092,"High","Low","Moderate","Moderate",69,21,50,51,"Very High","Low","High","High",90,34,69,72,"Very High","Low","High","High",84,33,62,64,4
