"","...1","fips","ccvi","adi.median","adi.mean","adi.median.uw","adi.mean.uw","FIPS","fips.y","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","risk_cat","coi_num","id"
"28",28,37063001708,0.917845416,5,5,5,5,37063001708,37063001708,0.82969999,2015,37063,37,"NC",1871,0.032308,-0.00387,0.00975,0.004306,"High","Low","Moderate","Moderate",70,28,46,50,"High","Low","Moderate","Moderate",71,35,52,57,"Moderate","Low","Moderate","Moderate",49,32,43,41,3,3,37063001708
"29",29,37063001709,0.99232485,6.5,7.66666666666667,9,7.66666666666667,37063001709,37063001709,0.98799998,2015,37063,37,"NC",2437,0.033017,-0.01953,-0.28185,-0.03128,"High","Very Low","Very Low","Very Low",71,19,9,15,"High","Very Low","Very Low","Very Low",72,20,7,15,"Moderate","Very Low","Very Low","Very Low",52,19,7,15,1,1,37063001709
"30",30,37063001710,0.930369488,5,5.5,5.5,5.5,37063001710,37063001710,0.75099999,2015,37063,37,"NC",1313,0.029959,-0.00398,-0.05173,-0.00314,"High","Low","Low","Moderate",69,28,35,41,"High","Low","Low","Moderate",70,35,38,46,"Moderate","Low","Low","Low",48,30,32,33,3,3,37063001710
"31",31,37063001711,0.811446225,4.5,6,5,6,37063001711,37063001711,0.70109999,2015,37063,37,"NC",1160,0.011624,-0.00996,-0.14154,-0.01627,"High","Low","Low","Low",61,24,22,27,"High","Low","Low","Low",62,29,22,30,"Low","Low","Very Low","Low",39,27,19,22,2,2,37063001711
"32",32,37063001801,0.737299289,4.5,5.6,5,5.6,37063001801,37063001801,0.65850002,2015,37063,37,"NC",2002,-0.0477,0.000232,-0.00141,-0.00542,"Low","Low","Moderate","Low",26,32,44,39,"Low","Low","Moderate","Moderate",27,40,49,43,"Very Low","Low","Low","Low",17,36,40,30,3,3,37063001801
"33",33,37063001802,0.976171015,6,6.75,7,6.75,37063001802,37063001802,0.97640002,2015,37063,37,"NC",2546,-0.08455,-0.01892,-0.16858,-0.03103,"Very Low","Very Low","Very Low","Very Low",11,19,18,15,"Very Low","Low","Very Low","Very Low",8,21,18,15,"Very Low","Low","Very Low","Very Low",4,23,16,17,1,1,37063001802
"34",34,37063001806,0.428118203,4,5.5,5.5,5.5,37063001806,37063001806,0.30219999,2015,37063,37,"NC",1616,-0.0669,0.037516,0.152347,0.014329,"Very Low","High","High","High",17,68,76,62,"Very Low","Very High","High","High",14,85,80,69,"Very Low","High","High","Moderate",10,71,70,53,4,4,37063001806
"35",35,37063001807,0.937836827,3.5,4.33333333333333,4,4.33333333333333,37063001807,37063001807,0.61680001,2015,37063,37,"NC",2613,-0.04836,0.013717,0.072532,0.004554,"Low","Moderate","Moderate","Moderate",26,43,59,50,"Low","Moderate","High","Moderate",26,57,65,57,"Very Low","Moderate","Moderate","Moderate",17,45,48,43,3,3,37063001807
"36",36,37063001808,0.442069243,2,2.5,2.5,2.5,37063001808,37063001808,0.2008,2015,37063,37,"NC",1944,-0.01039,0.040296,0.248163,0.03206,"Moderate","High","Very High","Very High",49,71,93,82,"Moderate","Very High","Very High","Very High",51,88,94,84,"Low","High","Very High","High",33,79,89,72,5,5,37063001808
"37",37,37063001809,0.587356784,2,3.5,3.5,3.5,37063001809,37063001809,0.4637,2015,37063,37,"NC",1545,-0.01979,0.019482,0.063596,0.007288,"Moderate","Moderate","Moderate","Moderate",43,49,58,53,"Moderate","High","High","Moderate",46,63,63,60,"Low","Moderate","Moderate","Moderate",27,49,45,45,3,3,37063001809
"38",38,37063001900,0.241282332,1,1.5,1.5,1.5,37063001900,37063001900,0.063900001,2015,37063,37,"NC",517,0.040692,0.007641,0.27719,0.037646,"High","Low","Very High","Very High",74,38,97,87,"High","Moderate","Very High","Very High",74,48,97,88,"Moderate","Low","Very High","High",59,37,94,80,5,5,37063001900
"39",39,37063002007,0.509483105,2,2.33333333333333,2,2.33333333333333,37063002007,37063002007,0.14669999,2015,37063,37,"NC",906,0.012396,0.039344,0.278436,0.038014,"High","High","Very High","Very High",61,70,97,88,"High","Very High","Very High","Very High",63,88,97,89,"Low","High","Very High","High",39,77,95,80,5,5,37063002007
"40",40,37063002008,0.209611948,1,1,1,1,37063002008,37063002008,0.0019,2015,37063,37,"NC",692,0.064053,0.058456,0.381249,0.057752,"Very High","Very High","Very High","Very High",81,87,100,99,"Very High","Very High","Very High","Very High",81,99,100,99,"High","Very High","Very High","Very High",70,100,99,99,5,5,37063002008
"41",41,37063002009,0.964589019,7.5,8,8,8,37063002009,37063002009,0.94489998,2015,37063,37,"NC",952,-0.0537,-0.03571,-0.19395,-0.03235,"Low","Very Low","Very Low","Very Low",23,11,15,14,"Low","Very Low","Very Low","Very Low",22,12,14,14,"Very Low","Very Low","Very Low","Very Low",15,7,15,12,1,1,37063002009
"42",42,37063002013,0.484421108,2.5,2.66666666666667,3,2.66666666666667,37063002013,37063002013,0.1212,2015,37063,37,"NC",907,0.05372,0.037123,0.190226,0.032069,"High","High","Very High","Very High",78,67,84,82,"High","Very High","Very High","Very High",78,85,86,84,"High","High","High","High",64,71,77,73,5,5,37063002013
"43",43,37063002015,0.981532536,3,3.33333333333333,3,3.33333333333333,37063002015,37063002015,0.86119998,2015,37063,37,"NC",1587,-0.03939,-0.02541,-0.09191,-0.01777,"Low","Very Low","Low","Low",31,16,29,26,"Low","Very Low","Low","Low",33,17,31,28,"Very Low","Very Low","Low","Low",20,14,25,22,2,2,37063002015
"44",44,37063002016,0.907801222,3,3,3,3,37063002016,37063002016,0.66909999,2015,37063,37,"NC",1444,0.000234,-0.01994,-0.21437,-0.02709,"Moderate","Very Low","Very Low","Very Low",55,18,14,18,"Moderate","Very Low","Very Low","Very Low",57,20,12,19,"Low","Very Low","Very Low","Very Low",37,18,14,18,1,1,37063002016
"45",45,37063002017,0.336681398,1.5,1.66666666666667,2,1.66666666666667,37063002017,37063002017,0.2129,2015,37063,37,"NC",1559,0.038764,0.043572,0.17943,0.029836,"High","High","Very High","High",73,74,82,79,"High","Very High","Very High","Very High",74,91,84,82,"Moderate","Very High","High","High",58,89,75,70,5,5,37063002017
"46",46,37063002018,0.474279935,1,2,1,2,37063002018,37063002018,0.2272,2015,37063,37,"NC",1284,0.07479,0.035562,0.255464,0.041847,"Very High","High","Very High","Very High",84,65,94,91,"Very High","Very High","Very High","Very High",83,83,95,91,"High","High","Very High","Very High",77,69,90,86,5,5,37063002018
"47",47,37063002019,0.234604674,1,1.33333333333333,1,1.33333333333333,37063002019,37063002019,0.037,2015,37063,37,"NC",561,0.095839,0.038111,0.164432,0.033832,"Very High","High","High","Very High",90,68,79,83,"Very High","Very High","Very High","Very High",88,86,81,85,"Very High","High","High","High",82,74,72,78,5,5,37063002019
"48",48,37063002020,0.332469764,1,1,1,1,37063002020,37063002020,0.051399998,2015,37063,37,"NC",1754,0.068394,0.043701,0.385361,0.05715,"Very High","High","Very High","Very High",83,74,100,99,"Very High","Very High","Very High","Very High",82,91,100,99,"High","Very High","Very High","Very High",72,89,99,99,5,5,37063002020
"49",49,37063002021,0.691677865,2,2,2,2,37063002021,37063002021,0.45860001,2015,37063,37,"NC",542,0.040735,-0.00027,0.151072,0.022104,"High","Low","High","High",74,31,76,71,"High","Low","High","High",74,39,80,76,"Moderate","Low","High","Moderate",60,34,70,59,4,4,37063002021
"50",50,37063002022,0.734473061,3,3,3,3,37063002022,37063002022,0.3813,2015,37063,37,"NC",912,0.053173,0.019884,0.138257,0.024122,"High","Moderate","High","High",78,49,73,73,"High","High","High","High",78,64,77,78,"High","Moderate","High","Moderate",63,49,63,60,4,4,37063002022
"51",51,37063002023,0.564303626,2,2,2,2,37063002023,37063002023,0.19760001,2015,37063,37,"NC",478,0.056853,0.046091,0.258792,0.041363,"High","High","Very High","Very High",79,76,94,90,"High","Very High","Very High","Very High",79,93,95,90,"High","Very High","Very High","Very High",66,91,92,85,5,5,37063002023
"52",52,37063002024,0.295811917,2,3,2,3,37063002024,37063002024,0.039299998,2015,37063,37,"NC",1192,0.071571,0.037541,0.297084,0.046554,"Very High","High","Very High","Very High",84,68,98,94,"Very High","Very High","Very High","Very High",83,85,98,93,"High","High","Very High","Very High",73,72,96,90,5,5,37063002024
"53",53,37063002025,0.597719622,2.5,2.66666666666667,3,2.66666666666667,37063002025,37063002025,0.37020001,2015,37063,37,"NC",1812,0.054861,0.040652,0.141563,0.026894,"High","High","High","High",79,71,74,76,"High","Very High","High","High",79,89,78,80,"High","High","High","High",66,79,66,65,4,4,37063002025
"54",54,37063002026,0.926448788,4,4.5,4.5,4.5,37063002026,37063002026,0.7834,2015,37063,37,"NC",1626,0.023979,0.007763,-0.02899,9.74e-05,"High","Low","Low","Moderate",67,38,39,45,"High","Moderate","Moderate","Moderate",68,48,43,50,"Moderate","Low","Low","Low",44,39,35,34,3,3,37063002026
"55",55,37063002027,0.775273271,2,2.33333333333333,2,2.33333333333333,37063002027,37063002027,0.60759997,2015,37063,37,"NC",2017,0.034093,0.024183,-0.05212,0.00026,"High","Moderate","Low","Moderate",71,53,35,45,"High","High","Low","Moderate",72,69,37,51,"Moderate","High","Low","Low",56,62,31,35,3,3,37063002027
"56",56,37063002028,0.356492706,1.5,2,2,2,37063002028,37063002028,0.1425,2015,37063,37,"NC",1396,0.026277,0.023389,0.175719,0.025882,"High","Moderate","Very High","High",68,53,81,75,"High","High","Very High","High",69,68,83,79,"Moderate","Moderate","High","High",45,59,73,62,4,4,37063002028
"57",57,37063002100,0.544450756,2,2,2,2,37063002100,37063002100,0.317,2015,37063,37,"NC",1124,0.029732,0.038988,-0.06005,0.00042,"High","High","Low","Moderate",69,69,34,45,"High","Very High","Low","Moderate",70,87,36,51,"Moderate","High","Low","Low",47,76,29,37,3,3,37063002100
"58",58,37063002200,0.74385226,1,1,1,1,37063002200,37063002200,0.44980001,2015,37063,37,"NC",328,0.001018,-0.00662,-0.02899,-0.00397,"Moderate","Low","Low","Low",55,27,39,40,"Moderate","Low","Moderate","Moderate",57,32,43,45,"Low","Low","Low","Low",38,28,36,33,3,3,37063002200
"59",59,37063002300,0.961804353,8,8,8,8,37063002300,37063002300,0.95370001,2015,37063,37,"NC",248,-0.05711,-0.01932,-0.33023,-0.04689,"Low","Very Low","Very Low","Very Low",21,19,6,8,"Very Low","Very Low","Very Low","Very Low",20,20,5,6,"Very Low","Low","Very Low","Very Low",14,21,7,8,1,1,37063002300
"60",60,37063980100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37063980100
