"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"147",22071012102,2015,22071,22,"LA",134,0.11630856,0.014382279,0.03105519,0.018030751,"Very High","Moderate","Moderate","High",93,44,51,66,"Very High","High","High","Very High",100,68,70,86,"Very High","High","High","High",100,65,63,79
"148",22071012200,2015,22071,22,"LA",378,0.10227749,0.031835843,0.23152885,0.041705839,"Very High","High","Very High","Very High",91,61,91,91,"Very High","Very High","Very High","Very High",100,88,98,100,"Very High","Very High","Very High","Very High",99,82,97,99
"149",22071012300,2015,22071,22,"LA",326,0.072327524,-0.04319334,-0.051861804,-0.0026105407,"Very High","Very Low","Low","Moderate",84,9,35,42,"Very High","Very Low","Moderate","High",99,17,51,62,"Very High","Very Low","Moderate","Moderate",94,19,47,55
"150",22071012400,2015,22071,22,"LA",316,0.069996893,-0.010850688,0.018744186,0.0087915789,"Very High","Low","Moderate","Moderate",83,24,48,55,"Very High","Low","High","High",98,38,67,77,"Very High","Low","Moderate","High",94,36,60,69
"151",22071012500,2015,22071,22,"LA",233,0.11813225,-0.011819653,0.065273874,0.019448407,"Very High","Low","Moderate","High",94,23,58,68,"Very High","Low","High","Very High",100,37,76,87,"Very High","Low","High","Very High",100,35,71,82
"152",22071012600,2015,22071,22,"LA",231,0.11005495,0.022824731,0.19297661,0.037116762,"Very High","Moderate","Very High","Very High",92,52,84,87,"Very High","High","Very High","Very High",100,78,96,99,"Very High","High","Very High","Very High",99,71,95,97
"153",22071012700,2015,22071,22,"LA",367,0.08997342,0.011646637,0.076565541,0.020131197,"Very High","Moderate","Moderate","High",88,41,60,69,"Very High","High","High","Very High",100,66,79,88,"Very High","High","High","Very High",99,63,74,84
"154",22071012800,2015,22071,22,"LA",315,0.070577167,-0.0081283851,0.10280945,0.018948598,"Very High","Low","High","High",83,25,66,67,"Very High","Moderate","Very High","Very High",98,41,83,86,"Very High","Low","High","High",94,39,77,80
"155",22071012900,2015,22071,22,"LA",193,0.085270993,-0.0015688151,-0.012501679,0.0078227157,"Very High","Low","Moderate","Moderate",87,30,42,54,"Very High","Moderate","Moderate","High",100,49,60,76,"Very High","Moderate","Moderate","High",98,47,55,68
"156",22071013000,2015,22071,22,"LA",478,0.076129615,-0.048609626,0.012642851,0.0047600712,"Very High","Very Low","Moderate","Moderate",85,8,47,51,"Very High","Very Low","High","High",99,14,66,72,"Very High","Very Low","Moderate","High",96,15,59,63
